path,type,rms,centroid,rolloff,zcr,tempo,density,key_guess
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_017_STRIPPED_110.wav,Drum,0.219177,2159.9,4841.59,0.05789,0.0,5.3854,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_021_NOKICK_110.wav,Kick,0.095364,4666.82,7582.24,0.315817,0.0,5.6146,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_008_STRIPPED_110.wav,Drum,0.247842,1377.21,3239.34,0.020757,0.0,1.7187,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_011_PERCUSSION_110.wav,Perc,0.054464,1704.07,2725.04,0.130056,0.0,1.6042,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_022_STRIPPED_110.wav,Drum,0.283227,1518.83,3009.9,0.031625,0.0,3.5521,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_003_FULL_110.wav,Drum,0.254981,2942.72,5677.84,0.148008,0.0,5.1562,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_004_FULL_110.wav,Drum,0.311488,3759.06,7390.1,0.170815,0.0,6.3021,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_021_PERCUSSION_110.wav,Perc,0.025606,1973.88,3295.87,0.10466,0.0,6.5312,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_009_TOP_110.wav,Top,0.082464,4730.31,8411.38,0.328846,0.0,6.1875,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_015_TOP_110.wav,Top,0.054115,4240.74,7707.94,0.288002,0.0,6.4166,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_011_FULL_110.wav,Drum,0.253724,2086.19,3927.81,0.067466,0.0,6.0729,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_003_STRIPPED_110.wav,Drum,0.207556,2600.8,5484.72,0.087337,0.0,2.0625,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_016_FULL_110.wav,Drum,0.212283,2883.24,5586.86,0.151258,0.0,4.6979,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_019_STRIPPED_110.wav,Drum,0.282921,1363.74,2932.24,0.020771,0.0,2.9792,
